Tweet,emotions_merged
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,joy
Whatever you decide to do make sure it makes you #happy.,joy
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,joy
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,anger
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,joy
Do you think humans have the sense for recognizing impending doom? ,sad
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",anger
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,anger
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,joy
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
"The bitter the battle, the sweeter the victory...",joy
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,anger
Awareness of time is awareness of time lost. #awareness #time ,joy
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,anger
What a fucking muppet.  @jRwild1  #stalker.,anger
@adamrodricks I like your optimism!,joy
Autocorrect changes ''em' to 'me' which I resent greatly,anger
You have to find a way to top yourself. #glee,joy
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,anger
#smile every morning to a positive head start with your #clients relations,joy
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,joy
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,anger
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,joy
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,joy
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,joy
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,joy
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",sad
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",anger
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,anger
@loismackey_ @Dory nah way that's horrible,anger
angel delight is my everything,joy
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,joy
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,joy
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",joy
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,joy
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",joy
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",fear
"Jorge deserves it, honestly. He's weak.  #90dayfiance",anger
Modern family never fails to cheer me up. Especially Phil.,joy
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,joy
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,joy
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger
Manchester derby at home ,joy
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",joy
her; i want a playful relationship\nme; *kicks her off the couch*,joy
Romero is fucking dreadful like seriously my 11 month old is better than him.,anger
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",anger
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",joy
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,joy
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,joy
so gutted i dropped one of my earrings down the sink at school,sad
The Quarterback' wrecks me every time.. #glee,joy
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",anger
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",joy
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,joy
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",joy
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",joy
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,joy
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",joy
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",anger
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sad
@Myahrissavietta I'm cheery now 😘😉,joy
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,joy
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,joy
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,anger
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,joy
Need a new outlet for #rage,anger
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,joy
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,joy
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,joy
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',anger
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,joy
May the optimism of tomorrow be your foundation for today.,joy
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",anger
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",joy
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,anger
@andreasarahco do you actually heely on campus bc this should scare you,fear
@STLouis_RamsFan their whole team is limited when they're on the field. ,joy
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",joy
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,joy
People who go the speed limit irritate me,anger
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,joy
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",joy
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,anger
After what just happened. In need to smoke. ,anger
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",joy
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,fear
hi my names anxiety and i have shaun,fear
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",joy
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",joy
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",anger
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),joy
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,joy
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sad
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",joy
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,anger
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",joy
Nothing worse than an uber driver that can't drive. #awful,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,joy
@RIPPoohSavage u know ion play that shit bout my weary brother,anger
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,anger
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",sad
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,joy
@DepressedStride &gt; huff louder,sad
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,anger
@Cherie_Fitz it's being extremely playful,joy
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",joy
"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",anger
I see I'll be hovering over the block button today with much glee.,joy
"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",anger
Summer officially ends today. #sadness,sad
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger
"Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody....",joy
@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,anger
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",joy
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sad
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,anger
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger
@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards 😊 it'll get better!!,joy
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,joy
I was not made for this world. #empath #unhappy,sad
"Df not be afraid to take a chance on peace, to teach peace, to live peace.Peace will be the last wordvof history Pope John Paul II",joy
@enews #breezy deserve it..,joy
"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.",joy
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,joy
"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder",joy
"Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world. #optimism",joy
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,sad
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,joy
Your future is bright. #Remember,joy
Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,joy
"@Harry_Styles 💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127",joy
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,sad
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,fear
will brawndo cure my depression? @MikeJudge #Idiocracytoday,sad
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,joy
"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin!",joy
I dislike people who get offended by the littlest shit .,anger
@salutetroye you look adorable awe,joy
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,joy
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",joy
@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE,joy
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sad
"significantly, with a #bitter smile, 'let me",anger
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,fear
@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,joy
Need advice on how to get out of this rut!!!!  #needmotivation,joy
in health we did a think about depression and now i feel like i have it,sad
@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,joy
"mattmilne76 Thank you for letting us know!  Please do not hesitate to contact us in the future, if our assistance is needed. Thank you!",joy
Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,fear
“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,joy
Muscled man with huge heart is messing with my brain and heart. #lost #confused,sad
Follow this amazing Australian author @KristyBerridge #fiction  #zombies #angels #demons #vampires #werewolves #follow #authorlove,joy
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,joy
"@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",joy
@LeafyIsHere will showing off biceps scare you?,fear
@TeamGrout glee,joy
courage the cowardly dog is like american horror story for kids,fear
